gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Gas1	1175.58958778531	-2.09332475147762	0.0620874153098102	-33.715765763998	3.39608381733756e-249	2.81355555784601e-246
Sulf2	3652.40431945108	-2.23277569308433	0.0669050855752613	-33.3722866339164	3.46111932882753e-244	2.70813359040039e-241
Col4a2	2926.89076705077	-2.04000951166546	0.0640308991559027	-31.8597667463397	9.64065519567954e-223	5.43115951103803e-220
Ccnd2	8405.19047633534	-1.4417006848856	0.0489568109345969	-29.4484190731217	1.31902564674044e-190	5.02085329964659e-188
Atf5	7722.1123320503	-3.00878483981637	0.103285317795689	-29.1308087541359	1.46236548626784e-186	5.14898887714907e-184
Plxdc2	1090.44444473283	-2.13530918451066	0.0750209737879383	-28.4628294821464	3.38107784769543e-178	1.08225228197596e-175
Tmeff1	2119.90111967441	-1.74318617584364	0.062120108027874	-28.0615445012017	2.88817209277917e-173	8.8428295118917e-171
Masp1	1487.60776748795	-1.25493394737883	0.0449325591628862	-27.9292782507566	1.17705353543555e-171	3.52715361554772e-169
Ptn	4331.13604665091	-2.07891469108688	0.077317621116242	-26.8879805285443	3.03567003809823e-159	7.77352305755917e-157
Cd34	839.955468531422	-3.19820400320018	0.119498880217675	-26.763464204639	8.60820902468129e-158	2.16496456970734e-155
Fbn2	2752.73487613143	-2.30056935175724	0.090167750441831	-25.5143256927695	1.36710968516994e-143	3.05624965173546e-141
Sesn3	4051.30025199264	-1.74008602843962	0.0696078448097544	-24.99841839947	6.36035271022902e-138	1.31734128780685e-135
Tgfbr2	4169.61673370234	-1.76566647012582	0.0708056582458301	-24.9367990337101	2.96965882447454e-137	5.89079927942246e-135
Fstl1	10054.6106047372	-1.36284207942843	0.0549955209413211	-24.7809649968139	1.43819012327146e-135	2.81325968002157e-133
Aldh1l2	10463.3313986223	-1.99761215285929	0.0808684394237938	-24.7019995327316	1.01786193143006e-134	1.96377636195356e-132
Rtl3	367.6546336795	-3.19602449748116	0.130326394442511	-24.5232326970496	8.35013875532233e-133	1.56804472306613e-130
Cavin2	230.43354813679	-3.2296573075089	0.133467312549895	-24.1981144731713	2.32876557359374e-129	4.15168789094864e-127
Flt1	912.289098511257	-1.85249166691517	0.0778067240101287	-23.8088891478584	2.70182821006194e-125	4.53006529887053e-123
Col4a1	3578.07681324151	-2.17105384085913	0.0924528696830915	-23.4828172267776	6.11144529649492e-122	9.89351673055569e-120
Lamb1	1623.59625342701	-2.80667722269189	0.119602889379519	-23.4666339354549	8.94190386322626e-122	1.4311110682918e-119
Ablim1	983.177647946076	-2.11159220295277	0.0908045122184894	-23.2542651390711	1.28798862803788e-119	2.0382058244141e-117
Clstn1	2761.74248535115	-0.929648008270692	0.0399979810128488	-23.2423733580966	1.69902635550423e-119	2.65878746565795e-117
F2r	493.527595536585	-2.2651606686931	0.0996107619812914	-22.740119879	1.79737610327528e-114	2.66465737247674e-112
Tagln	2876.74311993906	-1.7615342271512	0.0782717024359428	-22.5053777077716	3.67666898448559e-112	5.33837175025722e-110
Rspo2	179.297683952648	-3.91234921525827	0.174304370439077	-22.4455026882169	1.41593923350016e-111	2.03490695557308e-109
P4ha3	1450.0246477194	-1.23636119674439	0.0551677090245195	-22.4109577614486	3.07747307571082e-111	4.33431307983112e-109
Dkk3	4624.60163728169	-1.43462655006473	0.0640867823194791	-22.3856854431071	5.42647745007899e-111	7.49279494185416e-109
Pxdn	1272.85300726927	-2.84890470061465	0.127506178238986	-22.3432679103198	1.40388047753825e-110	1.90117813900468e-108
Anxa3	470.618870272448	-1.83839105957055	0.0829797443778061	-22.1546965871619	9.39912642074847e-109	1.26073615723639e-106
Phgdh	3496.65376890565	-1.97676339677416	0.0900880792189227	-21.9425634769106	1.01988306268306e-106	1.31096004040719e-104
Asns	5098.76002308285	-2.15107406654024	0.0980328292127758	-21.9423848501958	1.02389665183748e-106	1.31096004040719e-104
Dclk1	1290.80055850828	-1.89937848387606	0.0867325895780353	-21.8992479426334	2.64103681121152e-106	3.35102364406333e-104
Steap2	813.629756570719	-2.04063818885328	0.0943438347247112	-21.6297990728034	9.4192574717185e-104	1.16369142308494e-101
Mn1	482.890190892397	-2.43115839044888	0.114188679356544	-21.290712916101	1.38406484512337e-100	1.6519634981964e-98
Capn6	5373.50555652426	-0.788766471834338	0.0378644932257973	-20.8312961467803	2.25281421320834e-96	2.4787996389708e-94
Mgp	4375.85266579896	-1.71992579265745	0.0838149722182556	-20.5205078178483	1.41229512810247e-93	1.50687610486327e-91
Npr3	260.568336229529	-2.38672759927049	0.11826106082744	-20.1818551480192	1.41340856542238e-90	1.47455157299324e-88
Cald1	29120.8385662833	-1.03015502566335	0.0511916304482719	-20.1235048902047	4.5942228378832e-90	4.7577231212314e-88
Podn	314.027126839034	-2.12654628841775	0.108409385728448	-19.6158872603936	1.13145344272506e-85	1.14643095592372e-83
Akap12	524.824393669782	-2.46097977715239	0.125840028512129	-19.5564146500109	3.63774287413419e-85	3.65956933137899e-83
Gfra2	1147.40785159431	-2.78008362172562	0.144987262929284	-19.1746748338962	6.02439342076002e-82	5.65650379586561e-80
Nhs	619.245562758434	-2.07683154557976	0.108902697643506	-19.0705243352032	4.43832508553237e-81	4.11245858583144e-79
Igsf10	1933.14794776549	-2.88012166085177	0.152815434136763	-18.8470600310843	3.10633157516837e-79	2.76896037371338e-77
Fbln2	7603.8176649876	-1.74894101651974	0.0929075583139981	-18.8245289001017	4.75417776728741e-79	4.18486497965474e-77
Adamtsl4	575.383852546424	-2.32845343106276	0.124993902905186	-18.6285360881084	1.88612908104665e-77	1.60025554081091e-75
Mest	3593.67493058447	-1.16515406089467	0.0626711740544195	-18.5915467274145	3.76172054667178e-77	3.17245941193565e-75
Svep1	1592.57831441774	-2.21878917794802	0.119819955662718	-18.5176931978985	1.48672106405988e-76	1.23899286782363e-74
Six1	856.372163268451	-1.16520620407134	0.0634637777682352	-18.3601771758148	2.7371269041406e-75	2.24126135569281e-73
Fbn1	2251.46897932113	-2.12770076545254	0.118312762278055	-17.9836961328997	2.61467025437057e-72	2.10428662071743e-70
Pik3r1	1623.21204311048	-1.36175892419477	0.0758772331764431	-17.9468711125533	5.07713540423559e-72	4.01721208051989e-70
Pigs	2044.23501698049	-0.883728536012629	0.0492678807700899	-17.9372143108118	6.04085092684468e-72	4.75303600299891e-70
Crim1	786.884254978734	-1.34788098974798	0.0752073614938398	-17.9221948885734	7.91429991869396e-72	6.19250000304921e-70
Sox11	130.745210871179	-3.16778007194119	0.177949453784348	-17.8015723261513	6.87123411238257e-71	5.28822192561727e-69
Rhoj	360.821613517207	-2.25240552904786	0.127613351817395	-17.6502340622702	1.013353570787e-69	7.51161667945478e-68
Fmod	42584.7725684602	-1.17600125354321	0.066825567720628	-17.5980735167058	2.54846578518241e-69	1.87919330463398e-67
