gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Masp1	1487.60776748795	-1.61683545204979	0.0409760642714661	-39.4580465644105	0	0
Gas1	1175.58958778531	-1.97874177070885	0.0548021010497655	-36.107042117089	1.75850046577291e-285	1.42231655319868e-282
Sulf2	3652.40431945108	-2.24795856022657	0.0649375944414983	-34.6172133347461	1.39178859725984e-262	9.11290152967754e-260
Ptn	4331.13604665091	-2.44160373069441	0.0763999127382405	-31.9582005160107	4.15608621875029e-224	1.90487285026055e-221
Col4a2	2926.89076705077	-1.91606216149264	0.0611543892995662	-31.3315558120738	1.7352768722894e-215	6.81715914113693e-213
Ccnd2	8405.19047633534	-1.46693817853914	0.0480906446632448	-30.5036081094648	2.33403129431377e-204	8.02323257420357e-202
Cavin2	230.43354813679	-3.08291741896543	0.107278651792223	-28.737473555656	1.29888744623632e-181	3.43455815110566e-179
Plxdc2	1090.44444473283	-1.92429312945688	0.0676539016364712	-28.4431951877188	5.91527350784418e-178	1.53462284401618e-175
P4ha3	1450.0246477194	-1.45221602593179	0.0513762886850672	-28.2662695788279	8.98242738837025e-176	2.20550672482305e-173
Fbn2	2752.73487613143	-2.45581072424084	0.0884818282993975	-27.75497264739	1.5175953438525e-169	3.47782266299532e-167
Fstl1	10054.6106047372	-1.49041504979229	0.0544384946995776	-27.3779621941652	5.01921697493744e-165	1.03006318515507e-162
Rtl3	367.6546336795	-3.09481417988758	0.115534561624569	-26.7869123868252	4.59061258403448e-158	8.64670178499646e-156
Mgp	4375.85266579896	-2.20994685172093	0.0831578158125597	-26.5753354645848	1.30901642102499e-155	2.4322940255532e-153
Npr3	260.568336229529	-2.86560846901343	0.109482123184281	-26.1742135215082	5.22576851119367e-151	9.45451539854118e-149
Cd34	839.955468531422	-2.89893375480055	0.111476724129951	-26.004834438992	4.36633782004903e-149	7.69706987508643e-147
Rspo2	179.297683952648	-3.27724225775302	0.129103650401968	-25.3845824463461	3.73254741714477e-142	6.1834369862338e-140
