gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Wisp1	4975.88044288876	1.31083710400398	0.0877093844469794	14.9452320554865	1.67307347252545e-50	5.75119006180624e-49
Galnt3	293.881661644944	4.05097134029334	0.27106266570406	14.9447779161004	1.68451817646431e-50	5.77609100408586e-49
Msn	12022.268205908	0.589707429638794	0.0394797157469359	14.9369725308765	1.89385929114454e-50	6.47775255055656e-49
Sh3gl1	3301.18716420458	0.682602120338311	0.0457604287387653	14.9168646175741	2.56024036481326e-50	8.73531141840751e-49
Ssr3	12572.463703594	0.607629816557197	0.0407573315458148	14.9084788800309	2.90290591179848e-50	9.8799396750567e-49
Rap1gap	910.097312242002	1.92735552870522	0.129344756854388	14.9009173280597	3.2508541656589e-50	1.10368505624222e-48
Ell2	442.639267251071	2.35832361684085	0.158403522693408	14.8880755726967	3.93946071572795e-50	1.33089889044863e-48
Hid1	156.18150471627	2.57625333501649	0.1730810018978	14.8846684891373	4.14536070013857e-50	1.39702719673788e-48
Vldlr	6385.31078940296	1.50669615573548	0.101469121395515	14.8488144473288	7.08098431687225e-50	2.368942441776e-48
Swap70	2617.98276005465	0.7606151904349	0.0512573290869176	14.8391499124958	8.17857886910479e-50	2.7295014429658e-48
Wfdc1	174.929794038765	3.67218260915643	0.248008565565688	14.8066765386932	1.32638151072011e-49	4.41591907322069e-48
Grhl3	216.676232534196	7.31615471564042	0.494207026584777	14.8038257695338	1.38382548190083e-49	4.5960387381972e-48
Runx2	9840.32248930779	1.57317990523956	0.106278088786924	14.8024858481752	1.4116744105247e-49	4.67723449270233e-48
Megf10	3251.14562064333	2.45387722928899	0.166001287879435	14.782278262029	1.90607991103203e-49	6.2850356778634e-48
Snta1	1938.80286488984	1.27906109805924	0.0865337303028692	14.7810696890392	1.94059473796479e-49	6.38353532225259e-48
Bambi	216.324514797811	2.15110767135768	0.146041249366882	14.7294526764401	4.17069958193287e-49	1.36216435276905e-47
Tinagl1	285.436115641527	1.77405535663563	0.120485916864412	14.7241719431164	4.50959569092345e-49	1.4693587855497e-47
Slc41a2	1198.31949135124	1.23842982846479	0.0841207531526786	14.7220487460098	4.65345742308711e-49	1.51264868953777e-47
Slpi	519.152261686175	1.86687085493569	0.126865354216683	14.7153717928941	5.13631633519168e-49	1.66174940256201e-47
Clic3	102.634648209916	4.88385191784475	0.333350948381959	14.650781530847	1.33175005234613e-48	4.29848901872284e-47
Ppp1r3b	356.430114487526	1.2689659821592	0.0866656918799654	14.6420798661223	1.51366057091282e-48	4.87419973069118e-47
Pip4k2c	1848.11081597811	0.704010215020446	0.0481729759764278	14.6142147282936	2.27967701787145e-48	7.30665710856235e-47
Copb1	4854.99138865403	0.622869183081783	0.0426730465117606	14.596313926406	2.96445773450172e-48	9.47937066265086e-47
Copz2	4038.59060095292	0.870379201437697	0.0596568574900309	14.5897594686938	3.26346200293351e-48	1.03871765139666e-46
