gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ibsp	77249.5001023854	4.93892050979727	0.0835789715343561	59.0928605500615	0	0
Adgrd1	2675.38683921559	4.21387587869617	0.101299180225706	41.5983216182715	0	0
Col11a2	30071.3175989326	7.18827841650071	0.185032008546744	38.8488374144454	0	0
Ncf1	2438.91896689906	7.14365269006228	0.193963353737705	36.8299091163508	6.133909891466e-297	1.43983311519012e-293
Klhl30	1145.11316123458	3.3761721245322	0.0934856077946675	36.1143517614781	1.35026783703581e-285	2.71673888811605e-282
Tcf7	6336.93910313248	3.90438092171479	0.10918161648801	35.7604242115572	4.55598850281592e-280	8.02081775920742e-277
Spns2	3115.23514310066	4.0211977374153	0.114373704923338	35.1584111060372	8.6465626414101e-271	1.35309098046244e-267
Xaf1	687.857649248563	2.49294047538815	0.0712011229195172	35.0126567274236	1.44401050751088e-268	2.03374439877833e-265
Cdr2l	2580.02712174852	1.35604125088177	0.0388351378031684	34.9178946590769	3.9785874001671e-267	5.09403863126849e-264
Cgref1	3640.74915516423	3.63640702852878	0.106343098242959	34.1950449875062	2.8648255663366e-256	3.36235027302372e-253
Itga10	5022.17902335165	2.11921012916627	0.0623236128194231	34.0033260797394	1.98938106161752e-253	2.15526483629393e-250
Cspg4	8621.86008528538	3.47328483141888	0.102339499223209	33.9388492007706	1.78154844212153e-252	1.79223773277426e-249
Bglap2	11290.3900502332	6.91654697861325	0.203866181390781	33.9268972000572	2.6735314470419e-252	2.51026779334254e-249
Slc8a3	3205.56234341359	8.36827796133371	0.247064363726267	33.8708417317736	1.79083661013491e-251	1.57638392607125e-248
Bglap	9770.71359698338	7.05253508963849	0.209135222646551	33.722368716233	2.71768952337512e-249	2.25152583807149e-246
Klf4	9116.19194447487	2.31874357795378	0.0704448624563701	32.9157229796551	1.30943368561161e-237	1.02455911267522e-234
St3gal1	1711.34158993007	3.31569661508544	0.101173677556772	32.7723247306582	1.4601775744584e-235	1.02825704793361e-232
Srpx2	6838.35204559877	1.86190048682609	0.0575726382829587	32.3400237049274	1.9162475597322e-229	1.28516336339373e-226
Metrnl	1747.08643156644	2.18169692943208	0.0699396820759873	31.1939783635523	1.28587607038298e-213	8.23194480694265e-211
Pth1r	23519.9368558362	2.74178209195188	0.0890168452215056	30.8007106422312	2.563647030042e-208	1.5698436857005e-205
Prss35	3479.0970373511	4.94520323022456	0.1628007429137	30.3758026021171	1.14680335310379e-202	6.72982434379743e-200
Cpe	11466.787535394	3.69382130751304	0.122120762297275	30.2472834105086	5.66461572172015e-201	3.19121791298826e-198
Ramp1	2486.16337272204	4.0433362715171	0.134305758678028	30.105457214312	4.11055616852809e-199	2.22665665682883e-196
Fam102a	6083.7034670956	3.67957432584603	0.122384353860775	30.0657249866428	1.36023644355284e-198	7.09539632259192e-196
Sgms2	10114.8282199665	4.35710428928042	0.145930659854902	29.8573602943526	7.04525958259337e-196	3.54376557004447e-193
Plcd1	2824.23115582822	1.79125807765906	0.0603064750509446	29.7025829506014	7.11094701360121e-194	3.45346819791584e-191
Chst11	1406.27711972804	3.845836328691	0.132278063273343	29.0738784158326	7.68148744451422e-186	3.38081466151682e-183
Ifitm5	2323.77661758444	8.34121982477408	0.294129921538447	28.3589638930487	6.48940478864377e-177	2.76959930434118e-174
Gprc5c	4064.4016999485	2.31904983960436	0.0818922584104644	28.3183036420941	2.05705002639215e-176	8.52102722697267e-174
Cfh	9890.09797327825	2.64067554701484	0.0936269674370753	28.2042195672906	5.19073053398007e-175	2.03072913446043e-172
Cnppd1	2403.10622063179	1.47398175925844	0.0523263408028344	28.1690203565429	1.40169440789629e-174	5.3355308218409e-172
Antxr2	3256.9938454487	2.08376719218944	0.0740842771807078	28.1269828293886	4.58341281935224e-174	1.69875753020413e-171
Phospho1	20359.7798351864	4.08589846538668	0.146531958582486	27.8840090920277	4.17011085337541e-171	1.50594464766511e-168
Atp6v0b	1864.08983702148	1.26607946912987	0.0457725952860902	27.6602071876536	2.10365398274692e-168	7.40696567325189e-166
Rasa3	5454.99434625411	2.37196884352018	0.0865041247415569	27.4202975939791	1.57110591238798e-165	5.26844182620768e-163
C1qtnf3	983.289053671762	3.8242200491763	0.139907882210261	27.3338427310983	1.68072473352302e-164	5.50495980161353e-162
Lbh	4321.65318242937	1.37580157232934	0.0512045463471259	26.8687386272794	5.09539317085517e-159	1.59474483151832e-156
Panx3	10270.5342817083	3.35859401534485	0.126061460090213	26.6425124137174	2.18548390863079e-156	6.69138160199044e-154
Bmp1	4653.43038355317	1.39441831026138	0.0529805173925068	26.3194543747245	1.14861479513088e-152	3.3702272447132e-150
Camk2b	677.10864780056	6.44976042508696	0.24656577797193	26.1583763900164	7.91377109493957e-151	2.2746439204312e-148
Trim8	2760.4657556865	0.988593437638354	0.0381321871605406	25.9254323250925	3.4420769063434e-148	9.69564222978808e-146
Prrc1	4117.48777243386	1.21340409287119	0.0468745198080732	25.8862191621259	9.52036902835295e-148	2.62911524304555e-145
Zfp9	2246.75348631187	1.2393306578976	0.0484911082319479	25.5578951087176	4.48612578022267e-144	1.21504991324339e-141
Sparc	406875.50507578	1.73909855333761	0.0685870470420755	25.3560785649621	7.7011055302835e-142	2.04645981676439e-139
Rab11fip4	1026.79327880182	5.27129501597855	0.20794857576842	25.3490315886986	9.21009208624896e-142	2.40212846190242e-139
Fam180a	1117.61492485367	2.43763221874818	0.0965151227138985	25.2564795050211	9.61364993540542e-141	2.46179355800455e-138
