gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sulf2	3652.40431945108	-2.47905391076524	0.0674880321814331	-36.7332374442421	2.15334570698485e-295	1.68487338539859e-292
Tmeff1	2119.90111967441	-2.17851066607431	0.0641012881014476	-33.9854428919833	3.65566011508905e-253	1.98024296388131e-250
Ptn	4331.13604665091	-2.65902521015726	0.0784161100760431	-33.9091700363445	4.88023080609033e-252	2.54567298788801e-249
Capn6	5373.50555652426	-1.33696481864068	0.0394375606374086	-33.9007990614029	6.48347582011035e-252	3.26118833751551e-249
Gas1	1175.58958778531	-1.91714341975839	0.0603261320568987	-31.7796509471247	1.23688132151277e-221	4.83895459227384e-219
Fbn2	2752.73487613143	-2.79413188518145	0.0915037488655371	-30.535709408883	8.75313352576681e-205	2.67998114297608e-202
Cd34	839.955468531422	-3.73056191185157	0.124599777381476	-29.9403577618766	5.87461623515692e-197	1.72371031366563e-194
Col4a2	2926.89076705077	-1.87749884434844	0.0633613193153236	-29.6316248562453	5.85068004728456e-193	1.64801955571911e-190
Ccnd2	8405.19047633534	-1.37956512669128	0.048840191391972	-28.2465135244749	1.57085067102236e-175	4.0225201546689e-173
Atf5	7722.1123320503	-2.69354444124318	0.102855657565122	-26.1876157812496	3.67740751918168e-151	6.81481677633616e-149
Fstl1	10054.6106047372	-1.43961263836068	0.0550258820692499	-26.1624636302773	7.11015975269659e-151	1.30051285658414e-148
Sesn3	4051.30025199264	-1.82294230187288	0.0696927279464036	-26.1568510171505	8.23639442282672e-151	1.48719716732169e-148
Rtl3	367.6546336795	-3.53892730483877	0.136156263526849	-25.991659973402	6.15301926933744e-149	1.08323904236686e-146
Dclk1	1290.80055850828	-2.25681782349803	0.0883944339757085	-25.5312209377145	8.87652745420825e-144	1.47078838429493e-141
Flt1	912.289098511257	-1.99823431427972	0.0786999673259945	-25.3905355005111	3.20824377073734e-142	5.25405875198426e-140
Tagln	2876.74311993906	-1.98904258922491	0.0787210385666566	-25.2669759627307	7.37142533099488e-141	1.19332361335324e-138
Anxa3	470.618870272448	-2.20458240177139	0.0890420384809446	-24.7588941064415	2.48672856786199e-135	3.89145390552981e-133
Cavin2	230.43354813679	-3.34073865111709	0.135570117587415	-24.6421461496704	4.46750175189307e-134	6.91431809600681e-132
Plxdc2	1090.44444473283	-1.75769087257184	0.071916726140593	-24.4406408202684	6.32850853719809e-132	9.38218044609451e-130
Dkk3	4624.60163728169	-1.54582175085893	0.0642420713598519	-24.062451881416	6.18379987543333e-128	8.7092637445603e-126
Lamb1	1623.59625342701	-2.88093345986466	0.11973796004842	-24.0603185380782	6.51008494020398e-128	9.07802339582503e-126
