gene	DAY0_rep1	DAY0_rep2	DAY0_rep3	DAY4_rep1	DAY4_rep2	DAY4_rep3	DAY7_rep1	DAY7_rep2	DAY7_rep3	EARLY_DAY10_rep1	EARLY_DAY10_rep2	EARLY_DAY10_rep3	LATE_DAY10_rep1	LATE_DAY10_rep2	LATE_DAY10_rep3	DAY14_rep1	DAY14_rep2	DAY14_rep3	DAY21_rep1	DAY21_rep2	DAY21_rep3
Mir101b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jak2	2234	2002	2030	8982	8818	8184	8644	8103	9279	6284	7173	6390	2463	2544	2874	3990	3199	3998	4452	3250	3926
Insl6	64	46	63	17	9	21	16	14	11	11	22	23	6	11	6	11	7	4	1	3	12
Rln1	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Plgrkt	1200	1039	1116	843	808	841	898	848	1001	901	1052	899	338	454	344	430	470	330	365	391	455
Cd274	31	33	31	15	16	18	21	22	16	21	26	17	1	17	9	4	10	2	5	6	3
Pdcd1lg2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
Ric1	4108	3965	3645	3304	3247	3183	3138	2956	3469	2914	3362	2954	1117	1298	1254	1570	1537	1519	1671	1345	1790
Ermp1	1216	1240	1038	759	737	727	715	562	817	989	1165	1010	430	513	316	413	343	260	420	395	550
Mlana	6	0	0	6	1	0	0	1	1	0	0	1	0	0	2	0	0	0	0	1	1
Ranbp6	797	755	758	603	608	589	583	538	681	680	803	710	263	270	338	400	360	360	483	308	444
Il33	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	1	400	1
Trpd52l3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uhrf2	2585	2416	2406	1746	1899	1747	1947	1786	2075	2170	2499	2024	692	1058	927	1056	1378	1041	1256	1032	1283
Gldc	0	1	0	2	1	1	1	2	1	3	3	1	1	0	0	0	0	0	6	0	1
Mbl2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dkk1	1	0	0	13	21	17	37	22	36	31	42	28	17	17	6	32	18	22	28	50	50
Prkg1	8	10	10	4	4	7	16	11	9	6	5	9	2	4	4	6	8	6	5	10	5
Cstf2t	2929	2628	2554	1967	2020	1829	2011	1872	2147	1807	2217	2041	659	924	837	1101	915	866	1148	1139	1273
A1cf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Asah2	886	823	790	518	469	454	590	557	614	684	796	674	246	268	343	333	334	309	329	395	398
Sgms1	2806	2554	2655	1341	1337	1327	1149	1069	1275	1316	1682	1437	476	649	642	651	561	401	557	528	613
Minpp1	3235	2830	2812	1881	1843	1813	1982	1794	2188	2301	2592	2327	914	949	1003	1018	1046	930	1097	967	1042
Papss2	1069	952	953	3984	3952	3599	3412	3214	3753	2068	2510	2307	879	971	882	1290	1035	1329	1324	1073	1284
Atad1	4822	4405	4540	3530	3664	3697	3275	2921	3354	3247	3800	3392	1215	1442	1496	1700	1786	1473	1895	1496	1800
Pten	13573	12475	12129	11117	11383	10793	10091	9395	11110	10873	12281	10887	3878	4621	5064	5966	5638	5351	5656	4330	5273
Rnls	105	122	120	79	75	77	91	76	101	86	87	100	37	37	35	54	86	41	78	52	59
Mir3970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lipo5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Lipo4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
