gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Atf5	7722.1123320503	-2.88564065933034	0.088607215720664	-32.566655388737	1.21676905688815e-232	6.43483635854312e-230
Ccnd2	8405.19047633534	-1.30314751103807	0.0417017268672129	-31.2492457491645	2.28581336970195e-214	1.04766446111339e-211
Aldh1l2	10463.3313986223	-2.10715757965872	0.0694071614700832	-30.3593683278199	1.89002039306103e-202	7.64346482487917e-200
Sulf2	3652.40431945108	-1.67963718773731	0.0558837908657498	-30.0558920881426	1.82863502335432e-198	6.98436988086719e-196
Rtl3	367.6546336795	-2.90759158479189	0.0991743536820876	-29.317978659205	6.11958274486705e-189	2.21432270373479e-186
Cavin2	230.43354813679	-2.46157524985524	0.0860176132513548	-28.6171070878495	4.11605125943592e-180	1.38038304432302e-177
Rspo2	179.297683952648	-3.12846060881791	0.109852453366243	-28.4787504780413	2.14760525149255e-178	6.71126641091422e-176
Asns	5098.76002308285	-2.36537936944695	0.0841564227201479	-28.1069381633858	8.0586824118556e-174	2.35759325878754e-171
Npr3	260.568336229529	-2.45383163100141	0.0910690125469862	-26.9447484097336	6.57272833354823e-160	1.61383954618372e-157
Gas1	1175.58958778531	-1.22617050720516	0.0456702638942816	-26.8483341818109	8.82093595668562e-159	2.0911701621453e-156
Anxa3	470.618870272448	-1.49671865628954	0.057795266057523	-25.8969074525909	7.21588954023347e-148	1.50331032088197e-145
Dclk1	1290.80055850828	-1.84276368902397	0.0723031824282513	-25.4866193594258	2.77404507594777e-143	5.22508490332628e-141
Tagln	2876.74311993906	-1.69393767012436	0.066487438405979	-25.4775595320879	3.49566752637597e-143	6.49532817400941e-141
Fstl1	10054.6106047372	-1.19145384712076	0.0471399557011332	-25.2748189810479	6.04421477358355e-141	1.10810604182365e-138
Cd34	839.955468531422	-2.39577785176516	0.0955497262151592	-25.0736234070451	9.64886623128595e-139	1.72301182701535e-136
Flt1	912.289098511257	-1.51954315893786	0.0613285052712705	-24.7771106146572	1.58256728600059e-135	2.75446837753268e-133
Phgdh	3496.65376890565	-1.85463753835178	0.0766930481220164	-24.1826030359506	3.39127044086069e-129	5.55118673355173e-127
Masp1	1487.60776748795	-0.786152023265244	0.0333317020104442	-23.5857149754582	5.40199740023237e-123	8.44062093786307e-121
Fbn2	2752.73487613143	-1.78197585321146	0.0761629773367507	-23.396877531882	4.59810701898219e-121	7.024885723445e-119
Ptn	4331.13604665091	-1.52375889125142	0.0656686610068772	-23.2037454074455	4.17356997941659e-119	6.10495608691256e-117
Gria3	1129.70125585507	-1.22668802607333	0.0547871898973876	-22.3900519148879	4.92015453595245e-111	6.83354796660063e-109
Tmeff1	2119.90111967441	-1.11256204115321	0.0502170048249323	-22.1550856135656	9.3183020146065e-109	1.2561436539298e-106
Lamb1	1623.59625342701	-2.22407417948626	0.100457977094285	-22.1393486492254	1.3213223184713e-108	1.76390115329907e-106
Sox11	130.745210871179	-2.4860298783337	0.117482612365999	-21.1608324693093	2.1931625887236e-99	2.62225961695213e-97
Slc26a2	1430.86489796913	-1.14018178271598	0.0541833421116625	-21.0430316455241	2.64889395502085e-98	3.13985274840833e-96
Mn1	482.890190892397	-1.84243808714615	0.0879233393050346	-20.9550513175362	1.68747037351089e-97	1.96633200303175e-95
Chac1	993.366362185885	-3.45647714484188	0.166667441215296	-20.7387664899524	1.54845598479068e-95	1.73099754397332e-93
Plk2	703.520693222214	-1.67209839962999	0.0827760645404986	-20.2002645198469	9.73743011946852e-91	9.99176598079792e-89
Steap2	813.629756570719	-1.51641881991788	0.0753382085167829	-20.128150771996	4.18316307362016e-90	4.26062905646498e-88
Ankrd1	112.342812048672	-3.1105662713357	0.157031812146516	-19.8085103191285	2.51413049345567e-87	2.45172299893727e-85
Sesn3	4051.30025199264	-1.16263744104068	0.0587827502845485	-19.7785478803343	4.5562300515438e-87	4.41184247948784e-85
Nhs	619.245562758434	-1.73994155480061	0.0881796469099147	-19.7317818314486	1.15043111536111e-86	1.1061837647703e-84
Trib3	1717.67363471792	-4.43405187019511	0.226999692403296	-19.5332946192606	5.72256910012086e-85	5.46425868935151e-83
Ablim1	983.177647946076	-1.41554558001192	0.0726286395179548	-19.4901844424881	1.33000843826713e-84	1.26121489835676e-82
Armcx2	1332.94075103299	-1.0930909747732	0.0571327394348909	-19.1324796532625	1.35474263541534e-81	1.20178782173941e-79
Sesn2	1638.04341851784	-1.3007674938592	0.0683684522845945	-19.0258437977292	1.04196461698075e-80	9.12548629521353e-79
Plxdc2	1090.44444473283	-1.07825613777541	0.056893253601011	-18.9522670884171	4.22962651251807e-80	3.68084585741287e-78
Hdgfl3	475.717305793277	-1.20195288275194	0.0640081454563724	-18.7781238494276	1.14038916995261e-78	9.61984729254501e-77
Pxdn	1272.85300726927	-1.99305048889521	0.106176286591997	-18.7711451668478	1.30051641042204e-78	1.09037199044531e-76
Npm1	19860.0835589161	-1.14941892151725	0.0617103868759779	-18.6260203460932	1.97688493246187e-77	1.60841229712134e-75
Ncs1	1192.04967985689	-1.03467254535196	0.0555607330398308	-18.6223703098052	2.11635696471986e-77	1.71175930969989e-75
Tulp3	1317.16746627426	-1.11353364207917	0.0600183380990757	-18.553223520468	7.68047551089181e-77	6.17582095174049e-75
Adra1d	176.722570263727	-2.2663414540541	0.122310437358483	-18.5294199170559	1.19568959766089e-76	9.55856509757979e-75
Cald1	29120.8385662833	-0.815488570775356	0.0441558592906437	-18.4684113020568	3.70838053869192e-76	2.93047312683988e-74
Col4a2	2926.89076705077	-0.950577952286869	0.0521893234228478	-18.2140309539004	3.9942649920721e-74	3.03431732823157e-72
Gfra2	1147.40785159431	-2.20918282120147	0.122139635395992	-18.0873539865992	4.00877870339869e-73	2.97949768495848e-71
Six1	856.372163268451	-0.881366404391733	0.0491097006323019	-17.9468901875572	5.07539224987774e-72	3.75197007719457e-70
Adh7	1274.46652124049	-1.20056687760726	0.0669277586385107	-17.938250167494	5.92930241964569e-72	4.33659086543235e-70
Mgp	4375.85266579896	-1.27885696272667	0.071565454903366	-17.8697524448562	2.02892708617476e-71	1.46830249657384e-69
